TIPO;PRODUTO;MARCA;CESTA;COLETA;SUPERMECADO;CIDADE;MESREF;;
Alimentação;Extrato de Tomate (embalagem 340-350g);Siamar;P;0,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Extrato de Tomate (embalagem 340-350g);Tarantela;P;1,78;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Extrato de Tomate (embalagem 340-350g);Predileta;P;1,35;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Macarrão Espaguete (pacote 500g);Galo;P;2,49;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Macarrão Espaguete (pacote 500g);Basilar;P;2,68;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Macarrão Espaguete (pacote 500g);Amália;P;2,25;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Óleo de Soja (900 ml);Liza;D/P;3,38;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Óleo de Soja (900 ml);Soya;D/P;3,29;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Óleo de Soja (900 ml);Granol ;D/P;3,19;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Pão francês (kg);0;D;9,9;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Biscoito Maizena (pacote 400g);Mabel;P;3,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Biscoito Maizena (pacote 400g);Marilan;P;3,48;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Biscoito Maizena (pacote 400g);Zabet;P;3,69;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Café em Pó Papel Laminado (pacote 500g);Rodeio;D/P;9,59;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Café em Pó Papel Laminado (pacote 500g);Camilo;D/P;9,85;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Café em Pó Papel Laminado (pacote 500g);Utam;D/P;10,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Leite (l);Jussara;D;2,59;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Leite (l);Líder;D;2,55;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Leite (l);Bonalat;D;2,45;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Leite em Pó Integral (embalagem 400-500g);Ninho;P;15,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Leite em Pó Integral (embalagem 400-500g);Itambé;P;13,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Leite em Pó Integral (embalagem 400-500g);Frimeza;P;12,95;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Margarina (pote 500g);Doriana;D/P;4,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Margarina (pote 500g);Qualy;D/P;4,65;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Alimentação;Margarina (pote 500g);Delícia;D/P;4,58;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Absorvente Aderente (pacotes 8 unidades);Sempre livre;P;3,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Absorvente Aderente (pacotes 8 unidades);Intimus;P;2,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Absorvente Aderente (pacotes 8 unidades);Always;P;3,59;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Creme Dental (tubo 90-100g);Sorriso;P;2,19;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Creme Dental (tubo 90-100g);Colgate;P;3,45;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Creme Dental (tubo 90-100g);Close-up;P;3,39;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Desodorante Spray (embalagem 90-100 ml);Rexona;P;15,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Desodorante Spray (embalagem 90-100 ml);Très Marchand;P;10,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Desodorante Spray (embalagem 90-100 ml);Axé;P;14,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Papel Higiênico Fino Branco (pacote 4 un.);Mili ;P;4,95;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Papel Higiênico Fino Branco (pacote 4 un.);Neve;P;6,58;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Papel Higiênico Fino Branco (pacote 4 un.);0;P;;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Sabonete (unid. 90-100g);Lux;P;1,65;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Sabonete (unid. 90-100g);Francis;P;1,35;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Higiene Pessoal;Sabonete (unid. 90-100g);Palmolive;P;1,68;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Água Sanitária Cândida (l);Q Boa;P;5,58;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Água Sanitária Cândida (l);Triex;P;3,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Água Sanitária Cândida (l);Brilhante;P;15,58;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Detergente Líquido (embalagem 500 ml);Ypê;P;2,19;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Detergente Líquido (embalagem 500 ml);Minuano;P;1,29;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Detergente Líquido (embalagem 500 ml);Limpol;P;1,79;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Sabão em Barra (pacote 1kg - 5x200g);Ypê;P;6,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Sabão em Barra (pacote 1kg - 5x200g);Minuano;P;5,99;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Sabão em Barra (pacote 1kg - 5x200g);Triex;P;5,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Sabão em Pó (pacote 1kg);Omo;P;8,89;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Sabão em Pó (pacote 1kg);Surf;P;6,98;Barretense (Cristiano Carvalho);Barretos;mar-17;;
Limpeza;Sabão em Pó (pacote 1kg);Brilhante;P;6,95;Barretense (Cristiano Carvalho);Barretos;mar-17;;
